id|city|osex|cyear|quality|year|buyer.fname|buyer.lname|buyer.ethnicity|buyer.gender|buyer.age|buyer.nationality|house.type|size|n.rooms|n.bathrooms|price
PT-1228|Lisboa|Female|1999|Low|2022|James|Kuge|2|0|41||Vivenda|219.33|1|3|247
PT-469|Lisboa||1999|Perfect|2023|Benjamin|Minard|5|0|19|United States of America|Apartamento|158.16|1|2|248
PT-1254|Lisboa||2013|High|2018|Antonio|Arvizo|4|0|45|USA|Apartamento|131.68|1|30|302
PT-55|Coimbra|Female|1998|High|2021|Nhung|Richter|2|1|40|Pt|Apartamento|146.25|1|2|232
PT-1153||Male|2002|High|2022|Erik|Alex|1|0|40|United States of America|Quinta|193.85|1|2|253
PT-674|Faro||2007|High|2020|Doann|Yen|2|1|17|Pt||278.97|1|4|245
PT-1203|Lisboa|Female|2001|Very High|2020|Naasif|el-Sulaiman|6|0|68|United States of America|Vivenda|211.64|1|2|281
PT-236|Portimão|Female||Very High|2021|Tirsa|Alvarez|4|1|12|ENGLAND||264.01|1|2|306
PT-1069|Lisboa||2006|Medium|2018|Michelle|Peterson|1|1|41||Apartamento|312.98|1|1|334
PT-814|Lisboa|Male|1960|High|2017|Azeema|el-Farag|6|1|26|||224.54|1|3|241
PT-517|Faro|Female|2008|Low|2015|Uwais|el-Malek|6|0|40|England||96.37|1|1|262
PT-631|Portimão|Male||High|2018|Shukriyya|el-Elamin|6|1|48||Quinta|156.81|1|2|173
PT-842|||2013|Very High|2022|Diane|Kramer|2|1|41|Portugl|Apartamento|316.16|1|2|235
PT-779|Lisboa||2002|Very High|2017|Sean|Jarolimek|2|0|10|ENGLAND|Apartamento|127.57|1|4|234
PT-375|PORTO|Female|1975|Medium|2015|Lauryn|Scott|5|1|51|UK||213.44|1|3|297
PT-433||Male|1920|Low|2021|Raabiya|al-Salama|6|1|66|PT|Apartamento|324.18|1|2|286
PT-996|Lisboa||2015|High|2016|Coral|Beltran-Gomez|4|1|43|Pt||134.96|1|1|246
PT-1398|Lisboa||2006|High|2023|Cochise|Yancey|1|0|34|PT|Quinta|248.13|1|30|230
PT-1369|Lisboa|Male|2014|Medium|2016|Hudson|Sassolino|5|0|29|Prt|Vivenda|338.02|1|2|249
PT-1040||Female|1996||2023|Ghaalib|al-Ghazi|6|0|40|Portugl|Apartamento|90.12|1|1|274
PT-34|Lisboa|Female|1960|Very High|2023|Regina|Goode|1|1|49|PT|Apartamento|294.32|1|2|227
PT-1351||Female|2001|High|2018|Ryan|Garcia|1|0|25|Portugl|Vivenda|245.94|1|2|281
PT-625|Porto|Female||Perfect|2018|Paul|Blackmore|1|0|49|EUA|Vivenda|97.4|1|4|222
PT-1253|Portimão||2007||2019|Jasmine|Trinh|2|1|19||Quinta|305.4|1|3|291
PT-1014|Porto|Female|1975|High|2017|John|Luong|2|0|40|England||93.4|1|3|260
PT-39|Porto|||High|2022|Rose|Tindle|1|1|54|Prt|Vivenda|246.08|1|4|223
PT-508|||1960|Perfect|2022|Torrey|Turner|3|0|64|Portugal|Vivenda|232.72|1|4|252
PT-226|Lisboa||2002||2016|John|Stateler|5|0|60||Vivenda|115.38|1|1|246
PT-201|Porto|Male|2007|High|2018|Taahir|el-Salah|6|0|69|United States of America|Vivenda|272.49|1|2|201
PT-295|Portimão|Female|1920|Low|2018|Alfred|Taylor|1|0|53|United States of America|Apartamento|260.54|1|2|289
PT-566|Faro||2001|Low|2022|Kirstin|Fulton|5|1|37|Portugal|Apartamento|239.73|1|2|259
PT-1230|Portimão|Female||Low|2020|Dania|Ramirez|4|1|79|Portugal|Vivenda|322.82|1|2|253
PT-1046|Lagos|Female|2002|Perfect|2017|Taylor|Madison|3|1|55|Portugal||335.23|1|1|248
PT-920|Porto|Male|1997|High|2020|Anthony|Armbruster|3|0|42|United States of America|Vivenda|94.74|1|2|216
PT-516|||2013|High|2019|Laparis|Lawson|3|1|41|Pt|Quinta|348.83|1|2|271
PT-776|Portimão|Male|2002|High|2023|Howard|Gleitz|1|0|65||Apartamento|105.85|1|3|248
PT-1068|Lx||1920|Low|2021|Amashell|Gonzalez|4|1|8|USA|Quinta|292.38|1|3|222
PT-1135|Lisboa|Male||Low|2017|Samuel|Demers|5|0|41|ENGLAND|Apartamento|125.29|1|2|207
PT-813|Coimbra|Female|1997|Very High|2020|Keliq|Rice|3|0|33|Portugal|Vivenda|255.17|1|2|216
PT-944||Female||Perfect|2021|Avery|Ahmed|3|0|32|Pt||265.5|1|3|255
PT-210|Porto|Male|1920|High|2018|Mahdi|al-Rashid|6|0|29|Portugal|Apartamento|112.77|1|1|250
PT-1116||Male|2015|Medium|2021|Cheyenne|Williams|1|1|34|UK|Apartamento|288.1|1|4|304
PT-419|Coimbra|Female|2003||2020|Raafida|al-Baccus|6|1|49|England|Apartamento|221.26|1|4|224
PT-957|Lagos||1980||2019|Will|Douglas|1|0|50|UK|Apartamento|295.38|1|3|226
PT-456|Lisboa|Female|2002|High|2021|Caitlin|Quintana|4|1|51|England|Apartamento|289.63|1|3|260
PT-1332|LISBOA||2015|High|2022|Edwell|Cargill|3|0|60||Vivenda|292.17|1|2|288
PT-1321|Portimão|Male|2004|High|2022|Abdullah|el-Shehadeh|6|0|70|Prt|Vivenda|117.9|1|4|211
PT-451|PORTO||1980||2015|Geraldine|Stockham|5|1|34|EUA|Quinta|281.49|1|4|224
PT-885|LISBOA||1997|Low|2023|Michael|Pensoneau|1|0|66|England|Vivenda|333.73|1|3|275
PT-910|Lisboa|Female||High|2015|Phoebe|Bui|2|1|58|England|Apartamento|332.93|1|2|302
PT-321|Lisboa|Male|1900||2017|Celida|Fraire-Vasquez|4|1|43|ENGLAND|Quinta|262.28|1|2|228
PT-65|||1950||2016|Cierra|Wedgeworth|3|1|57|United States of America|Quinta|314.79|1|3|191
PT-844|Lisboa|Female||High|2017|Carley|Fox|5|1|9|Pt|Apartamento|343.52|1|3|284
PT-46|Faro||1998|High|2017|Caitlyn|Lawrence|5|1|54|Portugal|Apartamento|132.25|1|4|294
PT-1355|Lisboa|Female|2012||2015|Zuriel|Walker|4|0|15|England|Apartamento|166.3|1|4|274
PT-1057|Lisboa||2015|Perfect|2019|Amjad|al-Ebrahim|6|0|50|Pt|Quinta|176.66|1|4|260
PT-863|Faro||1950||2023|Logan|Macrae|5|0|41|||241.88|1|3|235
PT-338|Porto|||High|2022|Michaela|Boyd|3|1|18|Portugal|Vivenda|347.57|1|3|250
PT-1077|Lisboa||||2022|Josiah|Wong|2|0|58|EUA|Apartamento|306.33|1|1|246
PT-93|Lagos||2015|High|2019|Lutfiyya|el-Naim|6|1|52|UK|Quinta|122.07|1|2|232
PT-1016|Portimão|Female|2005||2015|Danny|Milasincic|1|0|24|PT|Quinta|132|1|2|269
PT-772|Portimão||2002||2015|Tana|Swango|5|1|44|United States of America|Vivenda|123.08|1|2|245
PT-1128|Lisboa|Male|1995|High|2023|Charles|Kirgis|2|0|60|Prt||326.74|1|3|291
PT-282|PORTO||2015|High|2017|Aasiya|al-Rahim|6|1|47|ENGLAND|Apartamento|239.15|1|2|245
PT-59|Portimão|Female|2005|High|2022|Jesus|Miramontes|4|0|18|UK|Apartamento|299.97|1|3|281
PT-1256|Faro||2003|Very High|2020|Nichole|Dubus|1|1|40|UK|Apartamento|286.33|1|3|235
PT-269|Porto||2005|High|2018|Nickolas|Carroll|1|0|27|United States of America|Quinta|302|1|30|257
PT-239|Lisboa|Male|||2017|Ivan|Soto|4|0|48|Portugl|Vivenda|173.6|1|4|234
PT-40||Female|2003|High|2021|Lorrin|Kabotie|1|1|55||Apartamento|259.24|1|2|240
PT-855|Lisboa|||High|2020|Kevin|Lee|2|0|48|USA|Vivenda|158.31|1|3|238
PT-387|Lisboa|Female|2004|Low|2023|Maisoon|el-Syed|6|0|46|United States of America|Apartamento|338.73|1|2|220
PT-558||Female|2003|Very High|2019|Qais|el-Allee|6|0|45||Quinta|134.04|1|2|226
PT-626|Lagos|Female|2000|Very High|2022|Mequila|Bol|1|1|31|ENGLAND|Vivenda|183.8|1|2|259
PT-1358|Faro|Female|1995|Low|2017|Makayla|Armstrong|3|1|55|UK|Vivenda|272.71|1|30|275
PT-457|Lisboa|Female||High|2020|Kaylie|Hunt|1|1|64|USA|Vivenda|115.76|1|3|291
PT-898|Porto|Female|2005|Low|2022|Mahdeeya|el-Azzam|6|1|58|Portugal|Apartamento|213.14|1|4|224
PT-220|Lx|Female|2014||2022|Saje|Ament|2|1|55|England|Vivenda|211.36|1|2|187
PT-176||Female|1920|Low|2018|Donovan|Garman|1|0|75|UK|Quinta|228.85|1|1|281
PT-959|Lisboa||1950||2021|Derrel|Essogho|3|0|61|Portugl|Vivenda|342.78|1|3|163
PT-1094|Lx|Male|1996|Medium|2022|Cheyenne|Bell|1|1|58||Quinta|133.65|1|2|259
PT-857|Lagos|Female|2004|High|2017|Danielle|Heslip-Johnson|3|1|85|Prt|Apartamento|240.25|1|2|267
PT-1140|Lisboa||2014|High|2019|Isabelle|Westfall|2|1|61|ENGLAND|Apartamento|122.62|1|4|265
PT-1186|Lisboa|Female|2004|High|2021|Patrick|Hanson|1|0|46||Apartamento|218.24|1|2|233
PT-1290|Lisboa||1900|Medium|2022|Marcus|Cox|3|0|58|Portugl|Apartamento|131.55|1|3|278
PT-754|||2016|High|2021|Kala|Kline|1|1|21|England|Apartamento|267.68|1|4|262
PT-7|Porto|Male|1980|Medium|2019|Shavonte|Shankle|3|1|12||Vivenda|291.57|1|3|266
PT-54|LISBOA|Male|1980|Very High|2022|Daniel|Perez-Castaneda|4|0|52|EUA|Apartamento|301.37|1|2|267
PT-603|Lagos||2001|High|2018|Taahir|el-Mina|6|0|81||Vivenda|314.54|1|30|247
PT-1221|Lx|Female|1995|Perfect|2020|Abigail|Robinson|5|1|64|Prt|Vivenda|166.86|1|4|261
PT-551|Porto|Female||High|2021|Carlos|Reichmann|4|0|50|Prt||236.09|1|4|227
PT-812|||2015|High|2021|Bassaam|el-Younes|6|0|49|Portugl||197.18|1|2|232
PT-495|Faro|Female|1975||2016|Lorena|Garcia|4|1|64|Prt|Vivenda|167.77|1|4|258
PT-1268||Male|2014|High|2020|Michael|Leidig|2|0|41|UK|Apartamento|186.73|1|2|244
PT-795|Lisboa|Female|2002|Perfect|2020|Cayman|Whitfield|3|0|46|UK||348.47|1|4|254
PT-221|Coimbra|Male|2008|High|2022|Parth|Trang|2|0|37|Prt|Apartamento|313.63|1|2|269
PT-278|Lisboa||2014|High|2017|Leona|Fink|1|1|33||Apartamento|251.71|1|2|250
PT-398|Lagos|Male||High|2018|Joseph|Ponce|1|0|33|Prt||107.21|1|3|263
PT-646|Proto|Female|1997|Medium|2015|Fidda|el-Anwar|6|1|50|USA|Apartamento|211.83|1|3|171
PT-798|Proto|Male|2008|Low|2022|Shuaib|el-Koroma|6|0|45|Pt|Apartamento|119.65|1|3|242
PT-330|||1997|Low|2023|Sierra|Schneider|1|1|61|UK|Vivenda|94.8|1|4|240
PT-243|PORTO||2002|Perfect|2019|Zakariyya|al-Turay|6|0|44|England|Apartamento|176.45|1|1|222
PT-1112|Porto|Female|2017|Medium|2020|Yodit|Casillas|3|1|47|United States of America|Apartamento|119.18|1|1|226
PT-30||Male|2003|High|2023|David|Gonzalez-Bejarano|4|0|59|UK|Vivenda|190.92|1|4|263
PT-107|Lisboa|Female|1998|Low|2023|Braxton|Fernandez|4|0|33|Prt|Quinta|229.39|1|3|259
PT-1087|Faro|Female|1995|High|2015|Fernando|Robertson|3|0|49|Portugl|Apartamento|240.22|1|2|250
PT-536|Proto|Female|2005|Medium|2016|Fawz|el-Azzam|6|0|40|Portugl|Apartamento|135.93|1|3|260
PT-444|Lisboa|Female|2008|High|2023|Aspen|Gomez|4|1|52||Apartamento|169.08|1|3|251
PT-356|||2005|Very High|2022|Chase|Conners|3|0|39|UK|Quinta|211.18|1|2|209
PT-50|Lisboa||1980|High|2015|Faaid|al-Salih|6|0|49|EUA|Apartamento|295.41|1|3|268
PT-1249|PORTO||2013|High|2017|Jennifer|Futamata|2|1|53|United States of America||126.27|1|1|267
PT-478|Lagos|Female|2007|High|2019|Trevor|Smith|5|0|50|ENGLAND|Apartamento|223.81|1|3|263
PT-896|PORTO|Female|2006|High|2019|Lance|Foster|1|0|25|England|Vivenda|165.99|1|3|270
PT-1282|Lisboa||1900|Medium|2016|Uriah|Carter|3|1|53|UK|Apartamento|135.53|1|3|313
PT-1370|||2008|Medium|2021|Brianna|Badsky|1|1|47|United States of America|Apartamento|166.34|1|2|254
PT-906|Coimbra|Female|1960|Perfect|2019|Deborah|Hammett|5|1|52|ENGLAND|Apartamento|269.8|1|3|283
PT-28|Proto||2002|High|2023|Ummu Kulthoom|al-Hana|6|1|45||Apartamento|140.16|1|3|275
PT-392||Female|1900||2023|Austin|Giles|5|0|42|England||113.84|1|2|234
PT-706|Proto|Female|1980|High|2019|Dylan|Bushyhead|1|0|42|EUA|Apartamento|108.83|1|4|192
PT-71|Coimbra|Male||High|2022|Amy|Black|2|1|55|USA||91|1|4|316
PT-642|Portimão||1996||2016|Elijah|Chester|1|1|25|UK|Apartamento|276.13|1|3|190
PT-1051||Female||Medium|2023|Conner|Nguyen|2|0|63|EUA|Apartamento|239.61|1|1|240
PT-1083|Lx|Female|2008|High|2015|Jayla|Reese|3|1|60|England||144.53|1|3|238
PT-1246|Faro|Female|2000|High|2019|Charlotte|Martin|1|1|36|Portugl|Apartamento|225.19|1|3|279
PT-1300|Portimão|Female|1960|High|2015|Khaleel|al-Rahimi|6|0|72|PT||177.63|1|4|296
PT-777|Portimão||||2023|Amy|Luong|2|1|22|United States of America|Vivenda|319.73|1|2|276
PT-538|Proto||1960|High|2018|Hayden|Brown|1|0|58||Quinta|242.12|1|2|292
PT-796|||1999||2019|Timothy|Jaramillo|4|0|40|England|Apartamento|231.92|1|4|286
PT-1117|||1996|Perfect|2020|Stephen|Bhagat|2|0|60|Portugal|Vivenda|117.16|1|30|245
PT-1137|Lisboa||1997|High|2019|Amanda|Espino-Luna|4|1|40|EUA|Apartamento|213.44|1|4|230
PT-977|Lisboa||1920|High|2023|Yoonus|el-Musa|6|0|66|United States of America|Vivenda|94.65|1|1|250
PT-1166|Lisboa||2012|Medium|2016|Shashwat|Rossi|2|0|39|Prt|Apartamento|137.97|1|30|265
PT-1088||Female|2013|Perfect|2017|Rajaa|al-Latif|6|0|49||Apartamento|187.99|1|2|214
PT-373|Porto|Male||High|2021|Joshua|Melstrom|5|0|47|Pt|Quinta|171.62|1|1|272
PT-228|Portimão|Male||Perfect|2015|Thomas|Bigback|1|0|34|PT|Apartamento|313|1|1|193
PT-310||Male|2017|Perfect|2016|Ashqar|al-Greiss|6|0|45|Portugal|Vivenda|230.01|1|3|274
PT-483||Female|2002|High|2019|London|Mitchell|3|1|51|EUA|Apartamento|97.01|1|4|262
PT-462|Proto||1998|High|2021|Terrence|Ballou|3|0|74||Apartamento|338.71|1|3|242
PT-184|PORTO||1997|Medium|2022|Chelsea|Shah|2|1|40|PT|Apartamento|162.51|1|4|275
PT-597|PORTO|Female|2015|Low|2021|Rich|Amarsaikhan|2|0|46|United States of America|Apartamento|308.63|1|2|221
PT-874|Porto|Female|2003|Perfect|2018|Lili|Martinez-Castellanos|4|1|62|ENGLAND|Vivenda|197.36|1|2|284
PT-573||Male|2002|High|2015|Chad|Anderson|4|0|75|PT|Quinta|128.83|1|1|243
PT-1107|Lisboa|Female||High|2019|Lauren|Estes|1|1|47|PT|Quinta|209.45|1|2|198
PT-835|Lisboa||1997|Low|2020|Hadeel|al-Naderi|6|1|42|ENGLAND|Apartamento|319.44|1|2|286
PT-971|Lagos|Female|2000|High|2015|Oliver|Medina|2|0|32|PT|Vivenda|158.28|1|2|255
PT-496|Coimbra||1999|High|2023|Corey|Harrison|5|0|57|Prt|Apartamento|151.65|1|2|219
PT-324|||1995|High|2018|Jose|Soto Martinez|4|0|56||Apartamento|298.65|1|4|215
PT-471|||2016|High|2018|Auriel|Romero|1|1|34|United States of America|Vivenda|276.77|1|3|235
PT-108|Proto|Male|2003|Very High|2015|Bryanna|Rice|3|1|42||Vivenda|145.43|1|2|276
PT-380|Lisboa|Female|1980|High|2016|Tantai|Synn|2|0|57|EUA|Vivenda|301.17|1|3|261
PT-145||Female|1980|High|2015|Ruqayya|el-Molla|6|1|39|England|Vivenda|110.6|1|2|278
PT-1017|Lagos||2006|High|2015|Desiree|Ellerman|1|1|39|UK|Vivenda|213.95|1|3|277
PT-347|LISBOA||2002|Perfect|2017|Chad|Haskan|1|0|76|United States of America|Apartamento|313.14|1|2|253
PT-901|Coimbra|||High|2019|Gerardo|Sabel|4|0|41|UK||138.78|1|1|255
PT-24|Lagos|Female|1995|Low|2019|Danielle|Salayandia|4|1|44|Portugal||323.16|1|2|297
PT-360|Portimão|Female|2013||2019|Gilbert|Williams|1|0|26|England|Vivenda|237.84|1|1|239
PT-667||Female|||2018|Zufar|el-Ramadan|6|0|28|Pt||132.1|1|3|227
PT-1278|Coimbra||2005|Medium|2016|Briana|Nellum|3|1|38|Prt|Vivenda|275.87|1|4|246
PT-1194|Lisboa||1998|Low|2023|Cody|Sullivan|1|0|43|Portugl|Apartamento|338.7|1|3|268
PT-742||Male|2003||2021|Andrew|Kamran|2|0|41|Pt|Apartamento|270.02|1|1|265
PT-1133||Female|2001|Perfect|2020|Mansoor|al-Basher|6|0|51||Apartamento|173.82|1|4|256
PT-1167||Female|2016|Medium|2019|Frank|Cain|3|0|37||Vivenda|125.65|1|2|254
PT-1049||Female|1980|High|2017|Vanessa|Fox|4|1|37|Portugal||170.3|1|2|261
PT-111|Faro|Male|1995||2022|Talaal|el-Mir|6|0|52|||196.98|1|4|255
PT-728|Coimbra|Female||High|2020|Konray|Murphy|1|0|46|EUA|Apartamento|217.64|1|3|263
PT-531|Lisboa||1999|High|2020|Nyein Nyein|Villaester|2|1|22|ENGLAND||178.99|1|3|296
PT-1173|Porto||2004|High|2022|Erik|Peterson|5|0|55|EUA||240.02|1|2|231
PT-61|Lisboa|Male|2000|Very High|2020|Jackson|Gunsauls|5|0|80||Vivenda|290.52|1|2|250
PT-382|Lx|Male|2004|Low|2018|Rashaina|Harriman|1|1|53|Portugl|Apartamento|188.79|1|2|218
PT-988|Lx||2006||2015|Qamraaa|al-Zia|6|1|27|EUA|Vivenda|314.61|1|30|266
PT-719|Lisboa||2008|High|2023|Faai Z|el-Muhammed|6|0|51||Quinta|96.96|1|2|223
PT-13|Lisboa|Female|2005|High|2022|Byungchan|Nandakumar|2|0|56|Portugal|Apartamento|234.01|1|1|259
PT-170|Lisboa|Male|2015|High|2022|Naadiya|al-Sami|6|1|57|Pt|Vivenda|235.99|1|30|256
PT-376|Porto|Female|2008||2018|Cassie|Arapahoe|1|1|30|Portugal||229.16|1|1|250
PT-1279|Porto|Female|2013|Perfect|2021|Chager|Gist|2|0|43|Pt|Vivenda|235.47|1|1|242
PT-477|Lisboa|Female|2008|Low|2017|Christian|Eriacho|1|0|53||Apartamento|277.86|1|3|252
PT-726|||2015|High|2017|Brian|Zerom|3|0|37|Portugal||289.89|1|1|318
PT-1297|Coimbra|Female|1997|Perfect|2015|Kendell|Kalamula|3|1|40|UK|Quinta|186.61|1|4|281
PT-591|Proto|Male|2001|Very High|2016|Alex|Dilling|5|0|49||Apartamento|150.53|1|2|249
PT-123|Lisboa|Female|2012||2020|Huda|el-Hoda|6|1|33|Portugal|Apartamento|233.79|1|3|235
PT-1030|Faro|Female|2016|Perfect|2017|Vincent|Lester|5|0|68|Portugl|Vivenda|198.37|1|30|185
PT-313|Faro|Female|2004|High|2017|Zita|Mccormick|5|1|34|USA||141.21|1|3|283
PT-672|||2013|High|2017|Hasnaa|el-Kaba|6|1|28|Portugal|Apartamento|106.68|1|2|214
PT-279||Male|2001|High|2015|Jason|Alvarado-Ordonez|4|0|27|Portugal|Vivenda|298.63|1|4|250
PT-622|Lisboa|Female|2015|High|2023|Breanna-Marie|Lampe|2|1|28|Portugal|Quinta|322.43|1|4|262
PT-1130|Porto||1996|High|2020|Bryson|Morris|3|0|40|Portugl||343.18|2|1|313
PT-455|Faro|Male|1997|Low|2023|John|Worley|1|0|16|ENGLAND|Apartamento|158.92|2|4|296
PT-773|Faro|Female|2006|High|2018|Kayjanet|Perez|3|1|59|UK|Apartamento|213.24|2|4|327
PT-36|Lagos|Male|2007|High|2021|Matthew|Amos|1|0|38|Portugal|Vivenda|301.49|2|1|377
PT-871|PORTO|Male|1998|High|2017|Ian|Lewis|5|0|44|Prt|Apartamento|194.63|2|2|321
PT-810|Lisboa|Male|2013|High|2015|Sean|Garofalo|5|0|60|England|Vivenda|255.72|2|2|314
PT-881|Lagos||2015|High|2020|Trevor|Siriwalothakul|2|0|44|Portugal||112.11|2|2|374
PT-297|Coimbra|Male|2007||2023|Adhraaa|el-Attar|6|1|23||Vivenda|196.98|2|1|329
PT-224|||2008|High|2015|Erica|Loase|5|1|34|England|Apartamento|257.12|2|2|304
PT-1026|Coimbra|Female|1999||2016|Daniel|Silva|4|0|29|United States of America|Vivenda|337.16|2|1|312
PT-645|Proto|Female|2002|High|2020|Breanna|Little|3|1|41|Pt|Vivenda|170.04|2|3|323
PT-702||Female||High|2022|Domenik|Mayes|3|0|41|ENGLAND|Apartamento|336.88|2|1|292
PT-567|Proto||2008|High|2017|Adam|Klocker|5|0|53|United States of America||108.41|2|3|356
PT-422|Porto|||High|2020|Tyler|Danner|1|0|36|USA||274.35|2|4|352
PT-505|Lisboa|Male|1975|Medium|2017|Masooma|Westphal|2|1|49|UK|Apartamento|332.75|2|2|321
PT-1262|Coimbra|Female|2006|Low|2022|Taylor|Scott|5|0|28|ENGLAND|Apartamento|311.64|2|2|343
PT-431||Female||High|2023|Killian|Sung|2|0|28|PT|Vivenda|100.78|2|2|394
PT-363|Lx|Female|1998||2020|Adrian|Ruiz|4|0|61|PT|Vivenda|348.49|2|1|309
PT-489|Porto||1996|Medium|2019|Waleeda|al-Saleem|6|1|43|||232.67|2|2|326
PT-878|Porto||1980|High|2022|Jasmine|Happ|3|1|42|Portugal|Apartamento|226.22|2|3|320
PT-435|Portimão|Male|1900|High|2018|Tony|Winklmann|2|0|70|Prt|Apartamento|328.97|2|3|308
PT-1364|Porto|Male|2013|High|2020|Amal|al-Bina|6|1|39|PT|Quinta|123.15|2|4|342
PT-390|||1920|High|2020|Anna|Lewis|1|1|53|Portugal||96.89|2|4|367
PT-554|Portimão|Male|1997|Perfect|2015|John Daniel|Rabbipal|2|0|30|||184.03|2|4|342
PT-369|Faro|Female|1960|High|2015|Charles|Anderstrom|1|0|-1|PT||219.04|2|3|430
PT-195|Proto|Female||High|2022|Jason|Shahid|2|0|64|Portugl||292.1|2|2|299
PT-650|Lisboa|Male|2015|High|2022|Tristany|Iron Cloud-Gresko|1|1|45|Portugal|Quinta|253.19|2|2|304
PT-746|Coimbra||1980|High|2019|Waail|al-Mansour|6|0|57|EUA|Vivenda|267.95|2|3|401
PT-932||Female|2007||2018|Samuel|Aaron|5|0|41|Portugl|Vivenda|220.87|2|30|330
PT-1199|Lisboa||1950|High|2017|Chad|Younger|5|0|35|England|Vivenda|313.8|2|30|391
PT-312||||High|2018|Tashan|Brandon|3|0|62|EUA|Vivenda|320.55|2|4|371
PT-983|Coimbra|Female|2000||2022|Zaidaan|al-Dia|6|0|41|EUA|Apartamento|252.39|2|4|305
PT-308|PORTO||1975|High|2021|Melanie|Bell|3|1|40|England|Quinta|347.46|2|1|326
PT-143|Lisboa||2006|Very High|2021|Jordan|Hodges|3|1|39|Pt|Quinta|347.38|2|2|317
PT-1357|Lisboa|Male|2002|High|2017|Shaamikh|el-Salama|6|0|41|United States of America||261.87|2|4|328
PT-794|Lisboa|Female||High|2020|Dale|Romero|4|0|67|Portugal|Apartamento|238.56|2|2|394
PT-967|PORTO||1920|Low|2021|Laphonso|Rodriguez Trigueros|4|0|45||Apartamento|105.54|2|3|338
PT-514|Lisboa|Female|2013|Very High|2015|Nhien|Intavong|2|0|27|Portugal||165.07|2|2|416
PT-73|Faro||2008||2021|Cameron|Samuel|3|0|61||Vivenda|118.55|2|3|387
PT-446||Female|1950|High|2017|Hamaama|al-Bangura|6|1|35|EUA|Vivenda|187.73|2|4|317
PT-934|LISBOA|Male|2003||2018|Christopher|Lumba|2|0|61|Portugal|Apartamento|310.71|2|30|394
PT-52|Lisboa|Female|2003|Medium|2020|Jameela|al-Emami|6|1|72|ENGLAND||313.73|2|2|403
PT-1111||Female|2003|Low|2023|Deon|Williams|3|0|55|Portugl|Apartamento|265.55|2|2|280
PT-1231|Portimão||1950|High|2017|Austin|Turner|2|0|46|ENGLAND|Quinta|333.18|2|2|331
PT-1105|LISBOA|Female|2012|Medium|2017|Zarqaa|el-Bari|6|1|41|PT|Quinta|105.6|2|2|365
PT-1252|Faro|Female|1960|Low|2016|Alexis|Booth|3|1|18|USA|Apartamento|205.94|2|4|262
PT-1251|PORTO|Male|2001|Perfect|2020|Eric|Jordan|3|0|60|England|Quinta|166.17|2|30|377
PT-1280|Lisboa|Male|2016|High|2020|Carl|Herrington|1|0|33||Vivenda|226.93|2|4|338
PT-1058|Faro|Female|2012||2017|Raquel|Ramirez|4|1|23|ENGLAND|Quinta|98.87|2|1|353
PT-33|Lisboa|Female|2013||2015|Krysta|Walborn|1|1|47|United States of America|Apartamento|103.67|2|2|352
